"ds0.Instrument Unit","ds0.RunId","ds0.Barcode","ds0.Row","ds2..spotRow","ds2..spotCol","ds0.Exposure Time","ds0.Cycle","ds1.ID","js0.UniprotAccession","ds3.Median_SigmBg","ds3.Signal_Saturation"
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,10.0,5.0,124.0,"YAP1_121_133","P46937",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,10.0,10.0,124.0,"YAP1_121_133","P46937",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,10.0,25.0,124.0,"YAP1_121_133","P46937",-1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,10.0,50.0,124.0,"YAP1_121_133","P46937",-4.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,10.0,100.0,124.0,"YAP1_121_133","P46937",-7.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,11.0,5.0,124.0,"KAP2_92_104","P13861",60.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,11.0,10.0,124.0,"KAP2_92_104","P13861",122.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,11.0,25.0,124.0,"KAP2_92_104","P13861",309.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,11.0,50.0,124.0,"KAP2_92_104","P13861",622.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,11.0,100.0,124.0,"KAP2_92_104","P13861",1250.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,12.0,5.0,124.0,"RS6_228_240","P62753",61.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,12.0,10.0,124.0,"RS6_228_240","P62753",119.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,12.0,25.0,124.0,"RS6_228_240","P62753",306.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,12.0,50.0,124.0,"RS6_228_240","P62753",614.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,2.0,12.0,100.0,124.0,"RS6_228_240","P62753",1238.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,1.0,5.0,124.0,"ACM1_444_456","P11229",1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,1.0,10.0,124.0,"ACM1_444_456","P11229",2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,1.0,25.0,124.0,"ACM1_444_456","P11229",3.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,1.0,50.0,124.0,"ACM1_444_456","P11229",5.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,1.0,100.0,124.0,"ACM1_444_456","P11229",14.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,2.0,5.0,124.0,"BAD_112_124","Q92934",2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,2.0,10.0,124.0,"BAD_112_124","Q92934",7.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,2.0,25.0,124.0,"BAD_112_124","Q92934",14.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,2.0,50.0,124.0,"BAD_112_124","Q92934",33.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,2.0,100.0,124.0,"BAD_112_124","Q92934",63.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,3.0,5.0,124.0,"CENPA_1_14","P49450",1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,3.0,10.0,124.0,"CENPA_1_14","P49450",7.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,3.0,25.0,124.0,"CENPA_1_14","P49450",16.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,3.0,50.0,124.0,"CENPA_1_14","P49450",30.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,3.0,100.0,124.0,"CENPA_1_14","P49450",62.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,4.0,5.0,124.0,"FRAP_2443_2455","P42345",2.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,4.0,10.0,124.0,"FRAP_2443_2455","P42345",4.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,4.0,25.0,124.0,"FRAP_2443_2455","P42345",13.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,4.0,50.0,124.0,"FRAP_2443_2455","P42345",22.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,4.0,100.0,124.0,"FRAP_2443_2455","P42345",51.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,5.0,5.0,124.0,"K6PL_766_778","P17858",1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,5.0,10.0,124.0,"K6PL_766_778","P17858",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,5.0,25.0,124.0,"K6PL_766_778","P17858",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,5.0,50.0,124.0,"K6PL_766_778","P17858",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,5.0,100.0,124.0,"K6PL_766_778","P17858",5.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,6.0,5.0,124.0,"LMNB1_16_28","P20700",1.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,6.0,10.0,124.0,"LMNB1_16_28","P20700",0.0,0.0
"unit07080061","439e6e3af1ecd3ba8638cb9975FE22B1EB97","710421621",1.0,3.0,6.0,25.0,124.0,"LMNB1_16_28","P20700",3.0,0.0
